,recipeName,ingredients,instructions,supplementary_ingredients,supplementary_instructions
64,Mchuzi wa Ndengu Kamande (Lentil Stew) ,"2 1/3 cups (466 g) lentils, dry, raw 11 2/3 cups (2541 g) water 2 onions, red skinned, raw, unpeeled (161 g) 2 tomatoes, red, raw (258 g) 1/3 cup (63 g) cooking oil 3 tsp. (15 g) salt, iodized ",• Sort and wash all the dry lentils. Put in a cooking pot and boil in 9 cups of water for 1 hour. • Remove from heat and set aside. • Wash and cut tomatoes and onions in separate bowls. Stewing: • Add cooking oil into the vessel and heat for 1 minute. • Add onions and cook for 6 minutes. • Add tomatoes and salt. • Cook for 7 minutes while stirring to mix. • Add the pre-boiled lentils and mix. • Add 2 2/3 cups of water. • Cover the vessel and cook for 6 minutes. • Remove from heat and serve. Energy 455 kJ/ 108 kcal |│ Fat 3.0 g |│ Carbohydrates 11.1 g │| Protein 7.1 g |│ Fibre 4.5 g │ Vitamin A 3 mcg |│ Iron 2.0 mg |│Zinc 0.93 mg Nutrition data per 100g of recipe: 133 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15046 ,,
65,Mchuzi wa Ndengu (Green Gram Stew) ,"2 ¾ cups (544 g) green gram, dry, raw 10 3/4 cups (2337 g) water 1 onion, red skinned, raw, unpeeled (118 g) 2 tomatoes, red, raw (155 g) 7 tbsp. (84 g) cooking oil 2 ½ tsp. (13 g) salt, iodized ","• Sort and wash all the green grams. • Add the raw green grams to a cooking pot and boil in 8 cups of water for 51 minutes. • Drain and discard the excess water. • Peel, wash and chop the onion and tomatoes. Stewing: • Add oil to a cooking pot and heat for 2 minutes. Add the onions. • Cook onions for 3 minutes and then add the toma- toes. • Cook for another 3 minutes and then add the boiled green grams. • Add 2 3/4 cups of water. Add salt and mix. • Cover the vessel and cook for 14 minutes. • Remove from heat and serve. Energy 454 kJ/ 109 kcal │| Fat 4.2 g │| Carbohydrates 9.3 g |│ Protein 6.3 g │| Fibre 4.0 g │ Vitamin A 4 mcg |│ Iron 1.6 mg │| Zinc 0.57 mg Nutrition data per 100g of recipe: 135 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15044 ",,
66,Bean Stew with Milk and Cream ,"2 3/4 cups (500 g) beans, kidney, dry 29 ½ cups (6385 g) water 1 bunch (58 g) spring onion, unpeeled 3 tomatoes, red, ripe (291 g) 3 tbsp. (34 g) cooking oil 2¼ cups (503 g) cow milk, pasteurized 2/3 cup (139 g) cow cream  2 tsp. (10 g) salt, iodized • ","| Serve 4 • Sort and wash the beans and put into a cooking pot. Add all the water. • Bring to a boil and cook until the beans are soft and ready. Drain and discard the excess water. • Meanwhile, wash and chop the onion and tomatoes into separate bowls. In a separate cooking pot, heat oil, add the onions and fry until tender. • Add tomatoes and salt and cook until the tomatoes are tender. • Add the boiled beans, stir and cover. Cook for 2-5 minutes. • Add milk and cream, stir, cover and cook for 10 minutes. • Remove and serve. Energy 584 kJ/ 139 kcal │| Fat 4.5 g |│ Carbohydrates 14.3 g │| Protein 7.2 g │| Fibre 6.7 g │ Vitamin A 25 mcg |│ Iron 1.9 mg |│ Zinc 0.96 mg Nutrition data per 100g of recipe: 137 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15115 ",,
67,Black Bean Stew (Njahi/Dolichos Bean Stew) ,"2 ½ cups (501 g) black beans, dolichos 2 onions, red skinned, raw, unpeeled (349 g) 3 tomatoes, red, ripe (307 g) 2 ½ tbsp. (27 g) cooking oil 2 ½ tsp. (12 g) salt, iodized 29 2/3 cups (6438 g) water ","Serves 4 • Sort the black beans and wash. Put the washed beans into a cooking pot and add 26 cups of water. • Cook until ready or soft. • Remove from heat and drain the excess water from the boiled black beans. • Meanwhile, peel, wash and cut the onion and the tomatoes. • Put oil in a cooking pot and heat for 2 minutes. Add onions and fry until tender. • Add tomatoes, salt and cook until tender. • Add the boiled black beans and simmer for 4 min- utes. • Add the rest of the water and simmer for 6 minutes. • Remove from heat. • Serve as desired. Energy 261 kJ/ 62 kcal │| Fat 1.3 g │| Carbohydrates 7.7 g |│ Protein 3.6 g │| Fibre 2.8 g │ Vitamin A 3 mcg |│ Iron 1.2 mg |│ Zinc 0.42 mg Nutrition data per 100g of recipe: 139 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15114 ",,
68,Mchuzi wa Mbaazi (Pigeon Peas Stew) ,"2.5 cups (434 g) pigeon peas, dried 1 onion, red skinned, raw, unpeeled (119 g) 2 tomatoes, red, ripe (167 g) 6 tbsp. (63 g) cooking fat 2 ½ tsp. (12 g) salt, iodized 18 2/3 cups (4048 g) water ","utes | Serves 4 • Boil all the pigeon peas in all the water. • Cook until ready or when the peas soften. • Strain the water and keep; set aside the peas sepa- rately. • Wash and chop the onions the tomatoes. • Heat cooking fat in a cooking pot for 1 minute, add onions and cook until they turn golden brown. • Add tomatoes, stir and cook until tender. • Add the pigeon peas, stir and cook for 3-5 minutes. • Add salt, water drained from the pigeon peas and stir. • Cover and bring to a boil for 3-5 minutes. • Turn off the heat. • Serve Energy 494 kJ/ 118 kcal |│ Fat 4.4 g |│ Carbohydrates 11.0 g |│ Protein 5.7 g |│ Fibre 6.1 g │ Vitamin A 8 mcg |│ Iron 1.4 mg │| Zinc 0.74 mg Nutrition data per 100g of recipe: 141 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15092 ",,
69,Firinda (Skinned Bean Stew) ,"2 ¼ cups (400 g) beans, kidney, dry 1 ½ tbsp. (20 g) cooking oil 29 1/8 cups (6326 g) water 2 ½ tsp. (12 g) salt, iodized 8 stalks (67 g) spring onions, unpeeled ","Serves 4 • Sort and wash the beans. • Soak in 14 cups of warm water for 3 hours. • Drain the water soaking the beans. • Remove and discard the skin. • Put the beans into a cooking pot, add the rest of the water and bring to a boil for 2 hours. • Meanwhile, peel, wash and chop the spring onion. • Add the chopped onions, oil and salt into the boiling beans. • Continue boiling until the beans are tender and well cooked. • Serve. Energy 390 kJ/ 93 kcal │| Fat 2.3 g │| Carbohydrates 10.2 g │| Protein 5.2 g |│ Fibre 5.3 g Vitamin A 2 mcg |│ Iron 1.6 mg │| Zinc 0.70 mg Nutrition data per 100g of recipe: 143 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15142 ",,
70,Ndoto (Sautéed Red Kidney Beans & Red Sorghum) ,"• 3 cups (501 g) red sorghum • 1 ¾ cups (308 g) red kidney beans • 23 ¼ cups (5059 g) water • 3 tsp. (14 g) salt, iodized • 1 ½ cups (176 g) onions, red skinned, raw, unpeeled • 3/4 cups (144 g) cooking oil ","minute | Serves 4 • Sort the beans. Wash and put on the fire in 21 cups of water. Let the beans boil until cooked (2 hours 30 minutes). • As the beans are boiling, sort out the red sor- ghum. • Once beans are ready, wash the red sorghum and add it into the mixture with the remaining water. • Let the red sorghum boil until cooked (2 hours 50 minutes). Cook until all the liquid is almost dry. Remove from fire. Frying: • Peel and chop the onion. • Put in a pot with the cooking oil and fry onion until golden brown. • Add the boiled red sorghum, red kidney beans and salt. • Cook for 6 minutes and remove from fire. Energy 806 kJ/ 193 kcal │| Fat 7.9 g | Carbohydrates 21.3 g │| Protein 5.7g │| Fibre 7.0 g │ Vitamin A 0 mcg │| Iron 1.8 mg |│ Zinc 0.89 mg Nutrition data per 100g of recipe: 145 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15085 ",,
71,"Fiqe (Red Sorghum, Beans and Teff Flour) ","• 1 ½ cups (262 g) beans kidney, raw • 1½ cups (207 g) red sorghum flour • 2 cups (323 g) teff flour • 1 medium-size bowl (611 g) sukuma wiki leaves, raw • 1 ½ tbsp. (22 g) salt, iodized • 7 tbsp. (88 g) ghee • 8 2/3 cups (1882 g) water • ","utes | Serves 4 • Boil beans in 8 2/3 cups of water until cooked (1 hour). • Wash and cut the sukuma wiki. • Add diced sukuma wiki into the boiled beans in the same cooking pot and cook for 20 minutes. In a separate bowl, mix the teff flour and the red sorghum flour together. • Add the mixed flour into the mixture of beans and kale. Add salt and stir gently until evenly mixed. • Add ghee after 20 minutes and continue mixing for 10 minutes. • Serve hot. Energy 807 kJ/ 192 kcal |│ Fat 5.8 g |│ Carbohydrates 24.2 g |│ Protein 7.2 g │| Fibre 7.4 g │ Vitamin A 82 mcg │| Iron 3.5 mg │| Zinc 1.40 g Nutrition data per 100g of recipe: 147 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15040 ",,
72,149 ,,,,
73,Beef Stew ,"• 1 kg beef, medium fat, without bone, raw • 2 onions, red skinned, raw, unpeeled (164 g) • 3 tomatoes, red, ripe (304 g) • ½ tsp. (3 g) salt, iodized • 1½ tbsp. (20 g) cooking oil • 3 1/8 cups (682 g) water ","Serve 4 • Peel, wash and chop the onions and the toma- toes into separate bowls. • Cut beef into small pieces and wash. • Boil the meat in all the water until tender. Turn off the heat, strain the remaining water and place the meat in a separate bowl. • Heat cooking oil in a cooking pot for 1 minute. • Add onions and cook until soft. • Add tomatoes and salt and cook until soft • Add the boiled meat and stir. • Add the liquid drained from boiling the meat, stir and cover to cook for 8 minutes. • Turn off the heat. • Serve. Energy 756 kJ/ 181 kcal |│ Fat 10.4 g |│ Carbohydrates 3.8 g |│ Protein 17.7 g |│ Fibre 0.8 g │ Vitamin A 14 mcg │| Iron 11.2 mg |│ Zinc 3.48 mg Nutrition data per 100g of recipe: 151 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15087 ",,
74,Stir Fried Goat Meat ,"• 1 kg meat, goat, medium fat, raw • 1 onion, red skinned, raw, unpeeled (106 g) • 3 tomatoes, red, ripe, chopped (336 g) • 1/8 cup (27 g) cooking oil • 1 ½ tsp. (7 g) salt, iodized • 2 ¼ cups (494 g) water ","minutes | Serves 4 • Cut the goat meat into small pieces. • Add the meat, all the water and salt into a cook- ing pot. Bring the mixture to a boil. • Meanwhile, prepare and cut the onions and toma- toes into separate bowls. • Add the onions and continue boiling. • When all the water has dried, add oil and stir. • Add tomatoes and stir. • Simmer until ready. • Serve while hot Energy 1,597 kJ/ 383 kcal |│ Fat 23.3 g |│ Carbohydrates 10.4 g │| Protein 32.1 g |│ Fibre 1.7 g │ Vitamin A 42 mcg |│ Iron 4.1 mg │| Zinc 5.74 mg Nutrition data per 100g of recipe: 153 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15099 ",,
75,Stir Fried Beef ,"1 kg beef, raw, medium fat 3 cups (646 g) water 2 onions, red skinned, raw, unpeeled (176 g) 3 tomatoes, red, ripe (295 g) 3 tbsp. (36 g) cooking oil 1 ½ tsp. (7 g) salt, iodized ","Serves 4 • Cut the beef into small pieces. • Peel, wash and chop the onions and tomatoes into separate bowls. • Put the meat into a cooking pot, add 3 cups of water and boil for 1 hour. • Strain the remaining liquid and keep separately. • Heat oil in a cooking pot, add onions and cook until golden brown. • Add tomatoes and cook until tender. • Add salt and meat then stir and cook for 7-10 minutes. • Add half of the strained water then stir and cover to cook for 30 minutes. • Add the rest of the strained water and cook until all the water dries. • Turn off the heat. • Serve hot. Energy 1,066 kJ/ 255 kcal │| Fat 14.1 g │| Carbohydrates 5.0 g │| Protein 26.7 g |│ Fibre 1.0 g │ Vitamin A 19 mcg │| Iron 16.4 mg |│ Zinc 5.13 mg Nutrition data per 100g of recipe: 155 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15098 ",,
76,Swahili Biryani Stew (Swahili Spiced Beef Stew) ,"1 kg beef, raw, medium fat 8 onions, red skinned, raw, unpeeled (806 g) 2 potatoes, unpeeled Irish, white, raw (454 g) 9 tomatoes, red, ripe (1.1 kg) 1 cup (163 g) tomato paste, salted 1 bunch (60 g) fresh coriander 1 capsicum, green (242 g) 2 1/3 cups (468 g) cooking oil 1 piece (20 g) ginger 1 garlic, whole (46 g) 2 ½ tbsp. (37 g) salt, iodized 4 tbsp. (18 g) pilau masala 1 cup (242 g) maziwa mala (fermented milk) 1 ¼ tsp. (2 g) turmeric powder 2 ¼ cups (511 g) water ","utes | Serves 6 • Wash and cut the meat. • Boil the meat in 1 cup of water for 20 minutes until meat is tender. • Prepare and put coriander, capsicum, garlic, gin- ger and tomatoes into a blender and blend to a medium thick juice. Add 1 ¼ cups of water. • Peel, wash and chop the onions into a separate bowl. • Put oil into a cooking pot and heat for 1 minute. Add the chopped onions. • Cook onions until golden brown. • Add the blended paste and stir. • Add meat, turmeric, tomato paste, potatoes, pilau masala and salt. • Cover and simmer until the potatoes are cooked or soft. • Add the fermented milk and continue to simmer for 5 minutes. • Stir and remove from fire. • Serve with the biryani rice. Energy 822 kJ/ 198 kcal |│ Fat 14.3 g |│ Carbohydrates 8.3 g │| Protein 8.1 g │| Fibre 1.9 g │ Vitamin A 24 mcg │| Iron 5.2 mg |│ Zinc 1.58 mg Nutrition data per 100g of recipe: 157 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15066 ",,
77,Minced Meat Balls ,"1 kg minced raw beef, medium fat 5 ½ cups (1207 g) water 4 onions, red skinned, raw, unpeeled (376 g) 5 tomatoes, red, ripe (439 g) 1 bunch coriander leaves (51 g) 2 ½ tsp. (12 g) salt, iodized ½ cup cooking oil (102 g) 2 tsp. (4 g) cumin seeds 1 ½ tsp. (3 g) curry powder 4 Royco® cubes (8 g) 1 whole garlic (39 g) ¼ cup (48 g) white raw rice ","| Serves 4 • Pound the minced meat in a mortar. • Prepare and cut the onions as well as the tomatoes and chop into two separate bowls. • Divide the onion, garlic, cumin seed and coriander in two equal portions. Mix and pound one half of each divided ingredient and add into the pounded meat. • Add rice to the pounded mixture and crush the grains. • Fry the other half of onions in ½ cup of cooking oil until they turn golden brown. Add salt and stir. • Add tomatoes and all the water, and then simmer until the tomatoes are tender. • Pound the rest of the garlic, cumin seeds and corian- der into the pounded meat. • Work the meat with palms to form balls using ¼ cup of cooking oil. • Add the meat balls into the simmering tomato soup. • Add garlic, curry powder and Royco® cubes. • Simmer for 30 minutes until the meat balls are ready. Energy 659 kJ/ 157 kcal |│ Fat 5.4 g │| Carbohydrates 18.6 g |│ Protein 8.1 g │| Fibre 0.8 g │ Vitamin A 9 mcg │| Iron 4.4 mg │| Zinc 1.55 mg Nutrition data per 100g of recipe: 159 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15134 ",,
78,Stewed Dried Fish ,"210 g dry fish 3 tomatoes, red, ripe (319 g) 1 whole onion, red skinned, raw, unpeeled (143g) ½ cup (104 g) cooking oil 2 tbsp. (28 g) peanut butter 1 g magadi (water and ash) 13/4 cups (406 g) water ","utes | Serves 4 • Soak the dried fish in ¾ cup of warm water for 10 minutes. • Chop the onion, cut the tomatoes and place into separate bowls. • Wash the dried fish in the soaking water and drain the water. • • In a cooking pot, heat cooking oil, add the onions and cook until they turn golden brown. • Add peanut butter and the grated tomatoes and cook for 3 minutes while stirring at inter- vals. • Add 1g of magadi and cook for another 2 minutes. • Add salt and the rest of the water and bring the mixture to boil. • Add the washed fish and cook for 10 minutes or until ready. • Remove from heat and serve. Energy 1,374 kJ/ 330 kcal | Fat 23.2 g │| Carbohydrates 3.9 g |│ Protein 25.7 g |│ Fibre 1.4 g │ Vitamin A 0 mcg |│ Iron 2.1 mg |│ Zinc 1.02 mg Nutrition data per 100g of recipe: 161 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15082 ",,
79,“Omena Stew” (Silver Sardine Stew) ,"• 2 cups (128 g) dried omena fish • 2 onions, red skinned, raw, unpeeled • (164 g) • 2 cups (453 g) water • 1 tbsp. (21 g) ghee, cow • 2 ½ tsp. (12 g) salt, iodized • 3 tomatoes, red, ripe (313 g) • 2 ¼ cups (509 g) milk • 1 cup (200 g) cooking oil • ","• Sort the omena (do not wash). Into a clean pot, add omena, all the water and 1 tsp. salt. • Start the fire, cover the pot and boil for 40 minutes. • Remove from fire, drain and discard the water. • Wash and cut the onions, and tomatoes into sepa- rate bowls. Into a clean pot, add cut onions and cooking oil. Cook for 10 minutes. • Add tomatoes, cover and cook for 3 minutes. • Add the remaining salt, mix, cover and cook for another 2 minutes. • Mash the tomatoes with a fork. • Add the boiled omena and mix. • Add the milk, mix and cover. • Add ghee, mix and heat for 3 minutes. • Cook for another 10 minutes. Energy 747 kJ/ 180 kcal |│ Fat 13.3 g |│ Carbohydrates 6.0 g │| Protein 8.8 g │| Fibre 0.7 g │ Vitamin A 52 mcg |│ Iron 1.0 mg |│ Zinc 2.26 mg Nutrition data per 100g of recipe: 163 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15017 ",,
80,Fried Tilapia ,"1 whole fresh tilapia, (approx.834 g) 4 ¼ cups (831 g) cooking oil 1 ½ tsp. salt (7 g) face. ",• Prepare and wash the fresh fish. • Score the length of the fish and sprinkle salt on the sur- • Put oil into the pan and heat. • Put in the salted fish into the hot oil and fry until it browns. • Turn to cook the other side. • Place on paper towel to drain the excess oil. Energy 1821 kJ/ 437 kcal |│ Fat 28.1 g |│ Carbohydrates 0.3 g │| Protein 45.7 g │| Fibre 0.0 g │ Vitamin A 24 mcg |│ Iron 6.2 mg |│ Zinc 1.16 mg Nutrition data per 100g of recipe: 165 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15096 ,,
81,Hydrabadi Biryani ,"2 cups (424 g) raw white rice ½ kg king fish 1 ½ tsp. (5 g) red chilli powder ¼ tsp. (1 g) turmeric powder 2 tsp. (6 g) coriander powder ½ tsp. (4 g) cumin seeds 6 cloves (18 g) garlic 1 piece (15 g) ginger 3 green chillies (6 g) 1 bunch (21 g) coriander leaves 1 bunch (14 g) mint leaves 4 ½ tbsp. (67 g) yoghurt 6 anise (5 g) seeds ¼ tsp. (2 g) clove seeds 8 cardamom seeds (2 g) 6 sticks (3 g) cinnamon • 1 ½ tbsp. (21 g) salt, iodized 1 bay leaf (1 g) ½ lemon (11 g) 2/3 cup (126 g) cooking oil 8 ¾ cups (1895 g) water • • ","• Chop the green chillies and coriander leaves. • Wash and cut the king fish. • Marinade with the dry ingredients (1 ½ tsp. red chilli powder, ¼ tsp. turmeric powder, 2 tsp. coriander pow- der, ½ tsp. cumin seeds, pinch of cloves, 4 anise seeds, 3 cinnamon sticks, 4 cardamoms seeds, the salt, and 3 tbsp. cooking oil. Leave to stand. • Crush ginger and garlic into a paste. Add the paste, co- riander leaves, green chillies, lemon juice and yoghurt. • Sort, wash and soak the rice in 4 ¾ cups of water for 30 minutes. Into a separate pot, add 4 cups of water and the soaked rice and start cooking. • Add the cloves, bay leaf, cardamoms, anise seeds, cinnamon and the cumin seeds. • Cover the rice and boil for 25 minutes until ready and soft. • Remove from heat and drain the water if necessary. Into a separate pot, add the oil and heat for 1 minute. Add the marinated fish and shallow fry for 6 minutes.  Into the pot used in frying the fish, add the boiled rice (do not stir). • Cover the rice with the fried fish and garnish with mint and coriander leaves. • Steam for 5 minutes. • Remove from heat and serve. Energy 819 kJ/ 195 kcal │| Fat 8.3 g │| Carbohydrates 21.4 g │| Protein 8.2 g │| Fibre 0.9 g │ Vitamin A 13.0 mcg |│ Iron 1.0 mg |│ Zinc 0.62 mg Nutrition data per 100g of recipe: 167 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15138 ",,
82,Stewed Nile Perch ,"1 kg Nile perch fish 1 onion, red skinned, raw, unpeeled (91 g) 3 tomatoes, red, ripe (293 g) 1/3 cup (67 g) cooking oil 3 ½ tsp. (18 g) salt, iodized 6 2/3 cups (1439 g) water • ","Serves 4 • Wash and cut the fish into 3-4 pieces. • Wash and chop the onion and tomatoes into separate bowls. • Put the fish in a pot and 3 2/3 cups of water. • Turn on the heat and boil for 1 hour. In a separate cooking pot, add cooking oil and heat for 2 minutes. • Add onions and cook until soft. Add tomatoes and cook until tender. • Add salt, 3 cups of water and stir. Transfer the stewed onions and tomatoes into the boiled fish and stir. • Allow to simmer for 20 minutes and remove from heat. • Serve Energy 522 kJ/ 125 kcal │| Fat 6.3g │| Carbohydrates 2.5 g |│ Protein 14.3 g │| Fibre 0.5 g │ Vitamin A 16 mcg |│ Iron 1.0 mg |│ Zinc 0.51 mg Nutrition data per 100g of recipe: 169 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15107 ",,
83,Stewed Goat Meat ,"1.2 kg goat meat, medium fat 1 onion, red skinned, raw, unpeeled (136 g) 3 tomatoes, red, ripe (319 g) ½ cup (89 g) cooking oil 4 tsp. (19 g) salt, iodized ","Serves 4 • Wash and cut the meat into small pieces. • Heat oil in cooking a pot, add the chopped meat and salt. • Cover and steam for 10-15 minutes to release water from the washed meat. Stir at intervals. • Drain and keep the broth from the meat. Return on heat and cook for 5 minutes while stirring. • Cover to dry. Add onion and cook for 10 minutes while stirring. • Add tomatoes, stir and cook until the tomatoes are tender. • Add the drained broth and stir. Cover and cook until ready. • Remove from heat and serve. Energy 925 kJ/ 222 kcal │| Fat 14.6 g |│ Carbohydrates 5.2 g │| Protein 17.1 g |│ Fibre 0.8 g │ Vitamin A 21 mcg │| Iron 2.1 mg |│ Zinc 3.04 mg Nutrition data per 100g of recipe: 171 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15108 ",,
84,Nyirinyiri (Camel Meat) ,"1½ kg camel meat Serves 4  ½ kg camel hump (544 g) 1 tsp. (6 g) salt, iodized • ","• Cut camel hump into large pieces and put in a heated pan. This is to remove the oil from the hump which was then used in the Nyirinyiri. • Cut the camel meat into small pieces and remove tendons and any other inedible part. • Put the meat in a cooking pot and add a pinch of salt (this is optional as camel meat is usually salty.) Leave to boil. Before the meat juices runs out, add the pre- pared camel hump oil (257 g). Keep stirring so that it does not stick to the pan. • Cook until ready then serve. Energy 2,171 kJ/ 521 kcal │| Fat 33.6 g │| Carbohydrates 20.0 g │| Protein 34.6 g |│ Fibre 0.0 g │ Vitamin A 1 mcg |│ Iron 6.9 mg │| Zinc 3.62 mg Nutrition data per 100g of recipe: 173 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15047 ",,
85,Ikalanga (Sheep Tail Fat) ,"894 g sheep fat 2 cups (420 g) water 1 tsp. (4 g) salt, iodized ","Serves 4 • Cut the sheep fat into small pieces. • Put in a cooking pot with all the water and add salt. • Boil until the sheep fat forms dry balls. • Keep stirring until oil separates from the balls. • Cook until ready. No data was available for fresh sheep tail fat, so the nutrient content of this dish could not be estimated. 175 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15050 ",,
86,"Qanchibelo (Beef, Maize & Wheat Flour mix) ","1 ½ kg of beef, raw, medium fat 12 ½ cups (2722 g) water 514 g sukuma wiki 1 tbsp. (16 g) salt, iodized 1 tsp. (1 g) red chilli flakes 1 tsp. (1 g) coriander powder ½ tsp. (1 g) black pepper ½ red capsicum (198 g) 1 green capsicum (210 g) ½ yellow capsicum (227 g) 1 onion, raw, red skinned, unpeeled (140 g) 2 tomatoes, red, ripe (195 g) 4 1/8 cups (478 g) wheat flour, atta 2 2/3 cups (339 g) maize flour, white ","• Cut meat into bite size chunks. • Cut the onion, green capsicum, yellow capsicum, red capsicum and tomatoes. • Remove the stalks from sukuma wiki and tear. Meanwhile, put the meat to boil in 10 cups water for 1 hour 15 minutes or until it softens. • Once the meat is cooked, add salt, red chilli, black pepper, onion, green capsicum, yellow capsicum, red capsicum and tomatoes. Cook for 2 minutes. • Add the shredded sukuma wiki and continue sim- mering. • Meanwhile, measure 4 1/8 cups atta flour and 2 2/3 cups maize flour into a bowl. Measure 2 ½ cups of water for the flour. • Start mixing using hands until the dough is hard and properly mixed. • Cut dough and press on the palm to oval shapes until all the dough has been used. • Once done, add into the pan containing the meat. • Keep turning periodically until cooked. Energy 560 kJ/ 133 kcal │| Fat 3.1 g │| Carbohydrates 15.7 g |│ Protein 9.6 g |│ Fibre 1.7 g │ Vitamin A 40 mcg |│ Iron 5.9 mg |│ Zinc 1.97 mg Nutrition data per 100g of recipe: 177 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15041 ",,
87,Okra Meat Dish ,"367 g okra 2 red skinned onions, raw, unpeeled (208g) 5 tomatoes, red, ripe (435 g) 3 cloves (18 g) garlic 700 g meat, beef ¼ cup (40 g) cooking oil 2 ½ tsp. (13 g) salt, iodized 2 Royco® cubes (8 g) 1 tsp. (2 g) curry powder 65 g coriander leaves 11/8 cups (253 g) water ","• Wash and chop the onions, tomatoes, garlic and coriander leaves into separate bowls. • Put the onions in cooking oil in a pot and cook until golden brown. • Add meat followed by salt then stir and allow it to cook for 10 minutes. • Add tomatoes and simmer until the tomatoes are tender. • Add curry powder, 2 Royco® cubes and continue to simmer the meat. • Add coriander, okra and all the water. • Allow to simmer for 5-10 minutes • Add garlic, stir and simmer for another 15 minutes or until ready. • Serve. Energy 394 kJ/ 94 kcal |│ Fat 5.1 g |│ Carbohydrates 3.2 g │| Protein 8.2 g │| Fibre 1.3 g │ Vitamin A 15 mcg │| Iron 5.2 mg │| Zinc 1.65 mg Nutrition data per 100g of recipe: 179 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15137 ",,
88,Tsiswa (Stewed Termites) ,"• 2 cups (335 g) dried termites, raw • 1 onion, red skinned, raw, unpeeled (107g) • 1 ¼ cups (271 g) cow’s milk • ½ tbsp. (7 g) salt, iodized ","Serves 4 • Wash the termites. • Peel, wash and finely chop the onions. • Put milk into a cooking pot and place on heat. • Add onions and the washed termites. • Add salt and stir to mix while heating. • Continue stirring and intervals. • Reduce the heat and cook until dry. • Remove and serve. Energy 2,136 kJ/ 515 kcal │| Fat 38.8 g │| Carbohydrates 7.3 g │| Protein 31.6 g |│ Fibre 5.1 g │ Vitamin A 95 mcg │| Iron 29.8 mg | Zinc 0.41 mg Nutrition data per 100g of recipe: 181 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15072 ",,
89,Omena wa kukaangwa (Fried Omena) ,"120 g omena, dried, raw 1 bunch (25 g) spring onion, raw, unpeeled 2 tomatoes, red, ripe (270 g) 1 cup (202 g) cooking oil ½ tsp. (3 g) salt, iodized ","• Peel and wash the onion and tomatoes • Cut the tomatoes, chop the onions and place into separate bowls. • Heat cooking oil in a cooking pot; add the washed omena and leave to cook for 4-6 minutes without stirring. • Stir to allow for the other side to fry as well. • Remove from the heat and drain the excess cooking oil. • Add the cut onions, turn on the heat and stir to mix evenly. • Cook as you stir continuously to prevent the omena from burning. • Add tomatoes, salt, and stir. • Mash the tomatoes into the omena and continue cooking. • Remove from heat and serve. Energy 1,863 kJ/ 450 kcal |│ Fat 39.3 g │| Carbohydrates 4.6 g │| Protein 19.2 g │| Fibre 0.8 g │ Vitamin A 55 mcg |│ Iron 2.3 mg |│ Zinc 5.28 mg Nutrition data per 100g of recipe: 183 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15101 ",,
